,ISSN,Field,Journal Title,Publisher Name,Scopus,Web of Science™,AJG 2021,AJG 2018,AJG 2015,ABS 2010,Journal Citation Reports™ rank,SNIPrank,SJRrank,CiteScore rank,Journal name,JCR Abbreviation,ISSN.y,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles,eISSN,ISSN.x,Full Name
321,1873-2089,ECON,Journal of Air Transport Management,Elsevier,scopus,WoS,1,1,1,,72.0,80.0,109.0,45.0,JOURNAL OF AIR TRANSPORT MANAGEMENT,J AIR TRANSP MANAG,0969-6997,TRANSPORTATION - SSCI,6036,5.428,1.25,4.53%,12/37,4.799,Q2,4.376,1.911,13/50,Q2,75.0,0.005,0.971,0.759,68.92,Q2,Q3,146.0,95.89%,5.5,7.5,140.0,,,Economics
322,1667-6726,ECON,Journal of Applied Economics,Taylor & Francis,scopus,WoS,1,1,1,,190.0,188.0,266.0,215.0,Journal of Applied Economics,J APPL ECON,1514-0326,ECONOMICS - SSCI,610,1.809,0.63,99%,222/381,1.85,Q3,1.721,0.5,251/572,Q2,56.21,0.0,0.094,0.406,41.86,Q3,Q4,32.0,100%,9.5,10.2,32.0,,,Economics
323,1873-7927,ECON,Journal of Asian Economics,Elsevier,scopus,WoS,1,1,1,,,118.0,177.0,133.0,Journal of Asian Economics,J ASIAN ECON,1049-0078,ECONOMICS - SSCI,1652,2.681,0.88,2.41%,143/381,2.883,Q2,2.406,0.649,165/572,Q2,71.24,0.001,0.171,0.517,62.6,Q2,Q3,97.0,100%,9.0,10.0,97.0,,,Economics
324,1755-5345,ECON,Journal of Choice Modelling,Elsevier,scopus,WoS,1,,,,175.0,176.0,157.0,102.0,Journal of Choice Modelling,J CHOICE MODEL,1755-5345,ECONOMICS - SSCI,1023,4.164,1.16,19.19%,81/381,4.052,Q1,3.527,0.864,110/572,Q1,80.86,0.002,0.338,1.236,78.87,Q1,Q2,44.0,95.45%,5.1,9.9,42.0,,,Economics
325,2152-4068,ECON,Journal of Economic Education,Taylor & Francis,scopus,WoS,1,1,1,,174.0,148.0,160.0,191.0,JOURNAL OF ECONOMIC EDUCATION,J ECON EDUC,0022-0485,ECONOMICS - SSCI,1034,1.237,0.49,3%,292/381,1.211,Q4,0.729,0.854,305/572,Q3,46.77,0.0,0.101,0.299,23.49,Q4,Q4,41.0,97.56%,15.3,8.2,40.0,,,Economics
326,1976-5525,ECON,Journal of Economic Integration,Sejong University,scopus,,1,1,1,,,244.0,277.0,259.0,Journal of Economic Integration,J ECON INTEGR,1225-651X,ECONOMICS - ESCI,415,,0.42,100%,,,,,,351/572,Q3,38.72,0.0,0.056,0.196,,,Q2,25.0,100%,7.8,8.8,25.0,,,Economics
327,1860-7128,ECON,Journal of Economic Interaction and Coordination,Springer Nature,scopus,WoS,1,1,1,,127.0,185.0,206.0,149.0,Journal of Economic Interaction and Coordination,J ECON INTERACT COOR,1860-711X,ECONOMICS - SSCI,357,1.237,0.51,22.05%,292/381,1.325,Q4,1.118,0.265,292/572,Q3,49.04,0.001,0.118,0.374,23.49,Q4,Q4,34.0,100%,4.6,12.3,34.0,,,Economics
328,1748-7889,ECON,Journal of Economic Policy Reform,Taylor & Francis,scopus,WoS,1,1,,,142.0,187.0,212.0,138.0,Journal of Economic Policy Reform,J ECON POLICY REFORM,1748-7870,DEVELOPMENT STUDIES - SSCI,627,2.059,0.79,10.89%,29/42,2.125,Q3,1.868,2.636,22/60,Q2,64.17,0.001,0.159,0.609,32.14,Q3,Q3,33.0,96.97%,5.3,8.7,32.0,,,Economics
329,1469-9559,ECON,Journal of International Trade and Economic Development,Taylor & Francis,scopus,WoS,1,1,1,,199.0,217.0,234.0,216.0,Journal of International Trade & Economic Development,J INT TRADE ECON DEV,0963-8199,ECONOMICS - SSCI,1102,2.518,0.71,4.26%,152/381,2.141,Q3,2.295,0.263,215/572,Q2,62.5,0.001,0.182,0.348,60.24,Q2,Q4,76.0,98.68%,5.8,10.9,75.0,,,Economics
330,1469-9648,ECON,Journal of the Asia Pacific Economy,Taylor & Francis,scopus,WoS,1,1,1,,203.0,250.0,263.0,222.0,Journal of the Asia Pacific Economy,J ASIA PAC ECON,1354-7860,ECONOMICS - SSCI,841,1.325,0.52,0.93%,276/381,1.714,Q3,1.267,0.232,289/572,Q3,49.56,0.001,0.161,0.347,27.69,Q3,Q4,95.0,100%,6.2,10.6,95.0,,,Economics
331,2199-6784,ECON,Journal of the Economic Science Association,Springer Nature,,,1,,,,,,,,Journal of the Economic Science Association-JESA,J ECON SCI ASSOC-JES,2199-6776,ECONOMICS - ESCI,376,,0.52,38%,,,,,,289/572,Q3,49.56,0.001,0.16,1.058,,,Q1,16.0,100%,6.2,8.7,16.0,,,Economics
332,1467-999X,ECON,Metroeconomica,Wiley-Blackwell,scopus,WoS,1,1,1,1.0,154.0,130.0,147.0,167.0,Metroeconomica,METROECONOMICA,0026-1386,ECONOMICS - SSCI,595,1.297,0.49,7.41%,283/381,1.206,Q4,0.956,0.205,305/572,Q3,46.77,0.001,0.125,0.308,25.85,Q3,Q4,44.0,100%,8.0,12.9,44.0,,,Economics
333,2191-2211,ECON,Mineral Economics,Springer Nature,scopus,,1,1,1,,,,,,Mineral Economics,MINER ECON,2191-2203,ECONOMICS - ESCI,416,,0.76,26.73%,,,,,,198/572,Q2,65.47,0.0,0.094,0.389,,,Q1,36.0,97.22%,3.1,7.6,35.0,,,Economics
334,1741-3036,ECON,National Institute Economic Review,Cambridge University Press,scopus,,1,1,1,2.0,,212.0,217.0,236.0,National Institute Economic Review,NATL INST ECON REV,0027-9501,ECONOMICS - ESCI,460,,0.43,5.15%,,,,,,345/572,Q3,39.77,0.001,0.155,0.395,,,Q1,21.0,95.24%,7.1,3.6,20.0,,,Economics
335,0028-0739,ECON,Natural Resources Journal,University of New Mexico School of Law,scopus,WoS,1,1,1,,195.0,276.0,279.0,265.0,NATURAL RESOURCES JOURNAL,NAT RESOUR J,0028-0739,ENVIRONMENTAL STUDIES - SSCI,466,1.304,0.56,0%,120/128,1.068,Q4,1.304,0.375,111/171,Q2,35.38,0.0,0.041,0.342,6.64,Q4,Q4,8.0,100%,20.4,10.7,8.0,,,Economics
336,1554-8597,ECON,"Peace Economics, Peace Science and Public Policy",Walter de Gruyter,scopus,,1,1,1,,,274.0,257.0,253.0,Peace Economics Peace Science and Public Policy,PEACE ECON PEACE SCI,1079-2457,POLITICAL SCIENCE - ESCI,233,,0.33,5.56%,,,,,,214/307,Q3,30.46,0.0,0.072,0.282,,,Q3,23.0,100%,6.5,10.8,23.0,,,Economics
337,1617-9838,ECON,Portuguese Economic Journal,Springer Nature,scopus,WoS,1,1,1,,215.0,273.0,288.0,264.0,Portuguese Economic Journal,PORT ECON J,1617-982X,ECONOMICS - SSCI,307,1.342,0.41,6.12%,271/381,1.239,Q4,1.316,0.364,355/572,Q3,38.02,0.0,0.039,0.285,29.0,Q3,Q4,11.0,100%,15.7,10.6,11.0,,,Economics
338,1465-3958,ECON,Post-Communist Economies,Taylor & Francis,scopus,WoS,1,1,1,1.0,166.0,193.0,205.0,175.0,POST-COMMUNIST ECONOMIES,POST-COMMUNIST ECON,1463-1377,ECONOMICS - SSCI,833,2.126,0.64,8.59%,187/381,2.009,Q3,1.647,0.955,248/572,Q2,56.73,0.001,0.167,0.37,51.05,Q2,Q4,44.0,100%,4.6,8.1,44.0,,,Economics
339,1090-9451,ECON,Research in Economics,Elsevier,scopus,,1,1,1,,,210.0,162.0,199.0,Research in Economics,RES ECON,1090-9443,ECONOMICS - ESCI,658,,0.43,4.44%,,,,,,345/572,Q3,39.77,0.001,0.295,0.742,,,Q1,28.0,100%,6.7,13.1,28.0,,,Economics
340,1875-7979,ECON,Research in Transportation Economics,Elsevier,scopus,WoS,1,1,1,,,124.0,127.0,98.0,Research in Transportation Economics,RES TRANSP ECON,0739-8859,ECONOMICS - SSCI,2617,2.904,0.7,10.87%,127/381,3.172,Q2,2.605,2.143,219/572,Q2,61.8,0.002,0.512,0.644,66.8,Q2,Q3,119.0,98.32%,5.3,8.2,117.0,,,Economics
341,1573-7128,ECON,Review of Austrian Economics,Springer Nature,scopus,,1,1,1,,,233.0,245.0,244.0,Review of Austrian Economics,REV AUSTRIAN ECON,0889-3047,EDUCATION & EDUCATIONAL RESEARCH - ESCI,395,,0.51,8.2%,,,,,,454/743,Q3,38.96,0.0,0.073,0.219,,,Q2,33.0,87.88%,11.3,17.7,29.0,,,Economics
342,1973-3909,ECON,Review of Economic Analysis,Rimini Centre for Economic Analysis,scopus,,1,1,1,,,,,,Review of Economic Analysis,REV ECON ANAL,1973-3909,ECONOMICS - ESCI,66,,0.09,0%,,,,,,537/572,Q4,6.21,0.0,0.009,0.07,,,Q4,23.0,100%,,13.3,23.0,,,Economics
343,1873-5924,ECON,Review of Financial Economics,Wiley-Blackwell,scopus,,1,1,1,1.0,,180.0,200.0,163.0,Review of Financial Economics,REV FINANC ECON,1058-3300,"BUSINESS, FINANCE - ESCI",825,,0.46,9.09%,,,,,,146/221,Q3,34.16,0.001,0.117,0.388,,,Q2,27.0,100%,8.7,12.1,27.0,,,Economics
344,1552-8502,ECON,Review of Radical Political Economics,SAGE,scopus,WoS,1,1,1,,182.0,160.0,197.0,225.0,REVIEW OF RADICAL POLITICAL ECONOMICS,REV RADICAL POL ECON,0486-6134,ECONOMICS - SSCI,662,1.0,0.36,2.38%,320/381,0.924,Q4,0.917,0.1,378/572,Q3,34.0,0.001,0.194,0.425,16.14,Q4,Q3,30.0,96.67%,10.8,10.4,29.0,,,Economics
345,1869-4195,ECON,SERIEs,Springer Nature,scopus,WoS,1,1,1,,180.0,195.0,195.0,201.0,Series-Journal of the Spanish Economic Association,SERIES-J SPAN ECON,1869-4187,ECONOMICS - SSCI,448,1.737,0.46,100%,233/381,1.624,Q3,1.605,0.4,328/572,Q3,42.74,0.0,0.098,0.564,38.98,Q3,Q3,30.0,96.67%,8.9,9.0,29.0,,,Economics
346,1813-6982,ECON,South African Journal of Economics,Wiley-Blackwell,scopus,WoS,1,1,1,1.0,184.0,173.0,239.0,182.0,SOUTH AFRICAN JOURNAL OF ECONOMICS,S AFR J ECON,0038-2280,ECONOMICS - SSCI,720,0.875,0.46,12.35%,332/381,1.593,Q3,0.857,0.6,328/572,Q3,42.74,0.0,0.101,0.34,12.99,Q4,Q4,25.0,100%,8.8,9.4,25.0,,,Economics
347,1932-1872,ECON,Statistical Analysis and Data Mining,Wiley-Blackwell,scopus,,1,1,,,,157.0,193.0,140.0,Statistical Analysis and Data Mining,STAT ANAL DATA MIN,1932-1864,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",719,1.247,0.34,12%,128/145,1.867,Q4,1.18,0.197,145/190,Q4,23.95,0.001,0.222,0.655,12.07,Q4,Q3,61.0,96.72%,6.9,11.2,59.0,,,Economics
348,1467-9663,ECON,Tijdschrift Voor Economische en Sociale Geografie,Wiley-Blackwell,scopus,WoS,1,1,1,,119.0,172.0,146.0,117.0,TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,TIJDSCHR ECON SOC GE,0040-747X,ECONOMICS - SSCI,2124,4.194,1.22,27.27%,78/381,2.802,Q2,4.083,1.333,105/572,Q1,81.73,0.002,0.383,0.743,79.66,Q1,Q3,24.0,95.83%,9.7,8.8,23.0,,,Economics
349,1540-6520,ENT-SBM,Entrepreneurship Theory and Practice,Wiley-Blackwell,scopus,WoS,4,4,4,4.0,2.0,2.0,2.0,2.0,ENTREPRENEURSHIP THEORY AND PRACTICE,ENTREP THEORY PRACT,1042-2587,BUSINESS - SSCI,17798,9.993,1.92,18.05%,24/154,14.105,Q1,9.014,2.284,22/296,Q1,92.74,0.009,1.854,3.523,84.74,Q1,Q1,67.0,91.04%,10.8,9.6,61.0,,,Entrepreneurship and Small Business Management
350,1873-2003,ENT-SBM,Journal of Business Venturing,Elsevier,scopus,WoS,4,4,4,4.0,1.0,1.0,1.0,1.0,JOURNAL OF BUSINESS VENTURING,J BUS VENTURING,0883-9026,BUSINESS - SSCI,18553,13.139,2.44,17.74%,6/154,16.066,Q1,11.991,2.923,7/296,Q1,97.8,0.009,1.891,4.083,96.43,Q1,Q1,78.0,93.59%,11.7,11.2,73.0,,,Entrepreneurship and Small Business Management
351,1932-443X,ENT-SBM,Strategic Entrepreneurship Journal,Wiley-Blackwell,scopus,WoS,4,4,4,3.0,5.0,7.0,4.0,5.0,Strategic Entrepreneurship Journal,STRATEG ENTREP J,1932-4391,BUSINESS - SSCI,3727,5.761,1.86,14.61%,64/154,9.926,Q1,5.448,1.182,27/296,Q1,91.05,0.004,0.885,3.212,58.77,Q2,Q1,22.0,100%,8.1,11.1,22.0,,,Entrepreneurship and Small Business Management
352,1464-5114,ENT-SBM,Entrepreneurship and Regional Development,Taylor & Francis,scopus,WoS,3,3,3,3.0,7.0,8.0,8.0,8.0,ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,ENTREP REGION DEV,0898-5626,BUSINESS - SSCI,4703,6.408,1.36,14.29%,51/154,7.113,Q2,5.932,0.967,58/296,Q1,80.57,0.003,0.66,1.406,67.21,Q2,Q2,30.0,96.67%,8.8,9.1,29.0,,,Entrepreneurship and Small Business Management
353,1741-6248,ENT-SBM,Family Business Review,SAGE,scopus,WoS,3,3,3,2.0,3.0,5.0,3.0,3.0,Family Business Review,FAM BUS REV,0894-4865,BUSINESS - SSCI,5050,7.575,1.39,13.73%,40/154,10.775,Q1,6.175,2.636,51/296,Q1,82.94,0.002,0.353,1.947,74.35,Q2,Q1,11.0,81.82%,12.8,10.6,9.0,,,Entrepreneurship and Small Business Management
354,1758-6534,ENT-SBM,International Journal of Entrepreneurial Behaviour and Re- search,Emerald,scopus,WoS,3,2,2,2.0,,12.0,13.0,11.0,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,1355-2554,BUSINESS - SSCI,4142,5.995,1.17,7.27%,59/154,6.301,Q2,5.187,0.598,71/296,Q1,76.18,0.003,0.63,0.892,62.01,Q2,Q3,102.0,98.04%,5.1,8.7,100.0,,,Entrepreneurship and Small Business Management
355,1741-2870,ENT-SBM,International Small Business Journal,SAGE,scopus,WoS,3,3,3,3.0,4.0,3.0,6.0,4.0,International Small Business Journal-Researching Entrepreneurship,INT SMALL BUS J,0266-2426,BUSINESS - SSCI,5130,6.413,1.3,30.65%,50/154,7.668,Q2,5.761,1.219,63/296,Q1,78.89,0.003,0.718,1.498,67.86,Q2,Q2,32.0,93.75%,7.7,8.8,30.0,,,Entrepreneurship and Small Business Management
356,1540-627X,ENT-SBM,Journal of Small Business Management,Wiley-Blackwell,scopus,WoS,3,3,3,3.0,6.0,4.0,7.0,6.0,JOURNAL OF SMALL BUSINESS MANAGEMENT,J SMALL BUS MANAGE,0047-2778,MANAGEMENT - SSCI,7372,6.881,1.37,10.26%,58/228,7.41,Q2,6.138,2.079,75/393,Q1,81.04,0.004,0.865,1.317,74.78,Q2,Q2,114.0,93.86%,7.7,11.2,107.0,,,Entrepreneurship and Small Business Management
357,1573-0913,ENT-SBM,Small Business Economics,Springer Nature,scopus,WoS,3,3,3,3.0,8.0,6.0,5.0,7.0,SMALL BUSINESS ECONOMICS,SMALL BUS ECON,0921-898X,BUSINESS - SSCI,14093,7.096,1.93,32.98%,42/154,8.081,Q2,6.374,2.703,21/296,Q1,93.07,0.01,2.094,1.606,73.05,Q2,Q2,219.0,97.72%,7.7,11.1,214.0,,,Entrepreneurship and Small Business Management
358,2157-5665,ENT-SBM,Entrepreneurship Research Journal,Walter de Gruyter,scopus,,2,2,,,,,,,Entrepreneurship Research Journal,ENTREP RES J,2194-6175,BUSINESS - SSCI,538,2.61,0.37,2.8%,124/154,3.16,Q4,2.22,0.5,210/296,Q3,29.22,0.0,0.071,0.431,19.81,Q4,Q4,66.0,98.48%,5.4,12.2,65.0,,,Entrepreneurship and Small Business Management
359,2043-6882,ENT-SBM,International Journal of Entrepreneurship and Innovation,SAGE,scopus,,2,2,2,2.0,,19.0,18.0,19.0,International Journal of Entrepreneurship and Innovation,INT J ENTREP INNOV,1465-7503,BUSINESS - ESCI,805,,0.54,15.12%,,,,,,171/296,Q3,42.4,0.0,0.085,0.327,,,Q2,28.0,100%,7.5,8.7,28.0,,,Entrepreneurship and Small Business Management
360,1942-0684,ENT-SBM,Journal of Social Entrepreneurship,Taylor & Francis,scopus,,2,2,,,,16.0,15.0,16.0,Journal of Social Entrepreneurship,J SOC ENTREP,1942-0676,BUSINESS - ESCI,1043,,0.71,7.14%,,,,,,130/296,Q2,56.25,0.001,0.146,0.59,,,Q1,53.0,92.45%,5.7,9.4,49.0,,,Entrepreneurship and Small Business Management
361,1464-5343,ENT-SBM,Venture Capital,Taylor & Francis,scopus,WoS,2,2,2,2.0,,13.0,12.0,13.0,Venture Capital,VENTUR CAP,1369-1066,"BUSINESS, FINANCE - SSCI",918,3.531,1.05,9.09%,38/111,3.838,Q2,3.313,0.5,51/221,Q1,77.15,0.001,0.139,0.851,66.22,Q2,Q3,12.0,83.33%,8.2,12.2,10.0,,,Entrepreneurship and Small Business Management
362,1555-1938,ENT-SBM,International Entrepreneurship and Management Journal,Springer Nature,scopus,WoS,1,1,1,1.0,,9.0,10.0,10.0,International Entrepreneurship and Management Journal,INT ENTREP MANAG J,1554-7191,BUSINESS - SSCI,4194,6.15,1.35,19.46%,55/154,6.704,Q2,5.494,1.169,60/296,Q1,79.9,0.003,0.709,1.019,64.61,Q2,Q2,77.0,98.7%,5.3,9.9,76.0,,,Entrepreneurship and Small Business Management
363,1742-5379,ENT-SBM,International Journal of Entrepreneurial Venturing,Inderscience Publishers,scopus,,1,1,,,,,,,International Journal of Entrepreneurial Venturing,INT J ENTREP VENTUR,1742-5360,MANAGEMENT - ESCI,397,,0.42,0%,,,,,,264/393,Q3,32.95,0.0,0.068,0.284,,,Q2,24.0,95.83%,5.0,10.0,23.0,,,Entrepreneurship and Small Business Management
364,1793-6330,ENT-SBM,Journal of Enterprising Culture,World Scientific,,,1,1,1,1.0,,,,,Journal of Enterprising Culture,J ENTERP CULT,0218-4958,BUSINESS - ESCI,381,,0.19,0%,,,,,,246/296,Q4,17.06,0.0,0.043,0.263,,,Q3,16.0,100%,8.2,13.4,16.0,,,Entrepreneurship and Small Business Management
365,0973-0745,ENT-SBM,Journal of Entrepreneurship,SAGE,scopus,,1,1,1,1.0,,15.0,17.0,17.0,Journal of Entrepreneurship,J ENTREP,0971-3557,BUSINESS - ESCI,431,,0.53,2.56%,,,,,,175/296,Q3,41.05,0.0,0.052,0.429,,,Q2,12.0,91.67%,7.4,9.4,11.0,,,Entrepreneurship and Small Business Management
366,2045-211X,ENT-SBM,Journal of Entrepreneurship and Public Policy,Emerald,scopus,,1,1,,,,,,,Journal of Entrepreneurship and Public Policy,J ENTREP PUBLIC POLI,2045-2101,ECONOMICS - ESCI,245,,0.43,2.5%,,,,,,345/572,Q3,39.77,0.0,0.07,0.261,,,Q2,21.0,100%,4.0,9.6,21.0,,,Entrepreneurship and Small Business Management
367,2053-4612,ENT-SBM,Journal of Entrepreneurship in Emerging Economies,Emerald,scopus,,1,1,,,,,,,Journal of Entrepreneurship in Emerging Economies,J ENTREP EMERG ECON,2053-4604,BUSINESS - ESCI,747,,0.72,1.58%,,,,,,126/296,Q2,57.6,0.001,0.138,0.419,,,Q2,91.0,97.8%,2.5,8.2,89.0,,,Entrepreneurship and Small Business Management
368,1175-0979,ENT-SBM,Small Enterprise Research,Taylor & Francis,,,1,1,,,,,,,Small Enterprise Research,SMALL ENTERP RES,1321-5906,BUSINESS - ESCI,297,,0.32,5.8%,,,,,,215/296,Q3,27.53,0.0,0.052,0.248,,,Q3,31.0,96.77%,5.6,7.7,30.0,,,Entrepreneurship and Small Business Management
369,1750-8533,ENT-SBM,Social Enterprise Journal,Emerald,scopus,,1,1,1,1.0,,,,,Social Enterprise Journal,SOC ENTERP J,1750-8614,BUSINESS - ESCI,783,,0.51,7.53%,,,,,,180/296,Q3,39.36,0.001,0.117,0.504,,,Q1,45.0,95.56%,6.6,8.6,43.0,,,Entrepreneurship and Small Business Management
370,1941-6067,ETHICS-CSR-MAN,Academy of Management Annals,Academy of Management,scopus,WoS,4*,4,,,1.0,1.0,1.0,1.0,Academy of Management Annals,ACAD MANAG ANN,1941-6520,BUSINESS - SSCI,8244,19.241,3.73,0%,1/154,27.258,Q1,18.889,5.059,1/296,Q1,99.83,0.015,3.198,12.644,99.68,Q1,Q1,17.0,58.82%,7.3,11.5,10.0,,,Ethics Corporate Social Responsibility and Management
371,1948-0989,ETHICS-CSR-MAN,Academy of Management Journal,Academy of Management,scopus,WoS,4*,4*,4*,4.0,4.0,4.0,3.0,2.0,ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,0001-4273,BUSINESS - SSCI,54177,10.979,2.54,0%,15/154,16.178,Q1,10.611,4.072,6/296,Q1,98.14,0.03,6.424,7.7,90.58,Q1,Q1,69.0,100%,15.9,14.1,69.0,,,Ethics Corporate Social Responsibility and Management
372,1930-3807,ETHICS-CSR-MAN,Academy of Management Review,Academy of Management,scopus,WoS,4*,4*,4*,4.0,2.0,3.0,4.0,3.0,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,0363-7425,BUSINESS - SSCI,47651,13.865,2.65,0%,4/154,17.311,Q1,13.284,9.944,4/296,Q1,98.82,0.013,2.693,7.905,97.73,Q1,Q1,36.0,97.22%,21.8,12.9,35.0,,,Ethics Corporate Social Responsibility and Management
373,1930-3815,ETHICS-CSR-MAN,Administrative Science Quarterly,Cornell University Press,scopus,WoS,4*,4*,4*,4.0,5.0,6.0,2.0,6.0,ADMINISTRATIVE SCIENCE QUARTERLY,ADMIN SCI QUART,0001-8392,BUSINESS - SSCI,24247,12.529,2.71,30%,7/154,14.694,Q1,12.147,1.091,2/296,Q1,99.49,0.011,2.365,8.651,95.78,Q1,Q1,22.0,100%,24.4,13.0,22.0,,,Ethics Corporate Social Responsibility and Management
374,1557-1211,ETHICS-CSR-MAN,Journal of Management,SAGE,scopus,WoS,4*,4*,4*,4.0,3.0,2.0,5.0,4.0,JOURNAL OF MANAGEMENT,J MANAGE,0149-2063,BUSINESS - SSCI,36651,13.508,2.67,16.67%,5/154,18.017,Q1,13.109,2.958,3/296,Q1,99.16,0.029,6.196,6.448,97.08,Q1,Q1,95.0,91.58%,11.4,12.5,87.0,,,Ethics Corporate Social Responsibility and Management
375,1467-8551,ETHICS-CSR-MAN,British Journal of Management,Wiley-Blackwell,scopus,WoS,4,4,4,4.0,14.0,14.0,12.0,12.0,BRITISH JOURNAL OF MANAGEMENT,BRIT J MANAGE,1045-3172,BUSINESS - SSCI,7844,7.45,1.37,26.15%,41/154,7.034,Q2,6.328,1.078,54/296,Q1,81.93,0.004,0.784,1.451,73.7,Q2,Q2,129.0,100%,11.5,10.5,129.0,,,Ethics Corporate Social Responsibility and Management
376,2153-3326,ETHICS-CSR-MAN,Business Ethics Quarterly,Cambridge University Press,scopus,WoS,4,4,4,3.0,10.0,19.0,11.0,18.0,BUSINESS ETHICS QUARTERLY,BUS ETHICS Q,1052-150X,BUSINESS - SSCI,3150,4.697,1.02,20.83%,84/154,6.134,Q2,3.909,0.692,83/296,Q2,72.13,0.001,0.298,1.784,45.78,Q3,Q1,39.0,100%,12.2,11.6,39.0,,,Ethics Corporate Social Responsibility and Management
377,1467-6486,ETHICS-CSR-MAN,Journal of Management Studies,Wiley-Blackwell,scopus,WoS,4,4,4,4.0,7.0,7.0,6.0,7.0,JOURNAL OF MANAGEMENT STUDIES,J MANAGE STUD,0022-2380,BUSINESS - SSCI,17104,9.72,1.68,23.24%,27/154,11.607,Q1,8.943,1.964,35/296,Q1,88.34,0.01,2.252,3.807,82.79,Q1,Q1,84.0,97.62%,11.9,11.6,82.0,,,Ethics Corporate Social Responsibility and Management
378,2168-1007,ETHICS-CSR-MAN,Academy of Management Discoveries,Academy of Management,,,3,,,,,,,,Academy of Management Discoveries,ACAD MANAG DISCOV,,MANAGEMENT - SSCI,946,6.527,1.48,0%,61/228,7.953,Q1,6.309,1.741,66/393,Q1,83.33,0.004,0.823,3.805,73.46,Q2,Q1,27.0,100%,3.3,13.4,27.0,,,Ethics Corporate Social Responsibility and Management
379,1552-4205,ETHICS-CSR-MAN,Business and Society,SAGE,scopus,WoS,3,3,3,3.0,17.0,18.0,13.0,17.0,Business & Society,BUS SOC,0007-6503,BUSINESS - SSCI,4694,6.74,1.57,11.68%,44/154,7.412,Q2,6.295,2.471,40/296,Q1,86.66,0.005,0.996,1.829,71.75,Q2,Q1,51.0,100%,7.6,10.9,51.0,,,Ethics Corporate Social Responsibility and Management
380,2162-8564,ETHICS-CSR-MAN,California Management Review,University of California Press,scopus,WoS,3,3,3,3.0,13.0,12.0,10.0,10.0,CALIFORNIA MANAGEMENT REVIEW,CALIF MANAGE REV,0008-1256,BUSINESS - SSCI,7895,11.678,2.36,3.7%,9/154,12.199,Q1,11.475,0.5,10/296,Q1,96.79,0.004,0.846,2.942,94.48,Q1,Q1,22.0,100%,16.9,8.8,22.0,,,Ethics Corporate Social Responsibility and Management
381,1740-4762,ETHICS-CSR-MAN,European Management Review,Wiley-Blackwell,scopus,WoS,3,3,3,3.0,24.0,35.0,24.0,27.0,European Management Review,EUR MANAG REV,1740-4754,MANAGEMENT - SSCI,1436,3.0,0.71,19.25%,165/228,3.204,Q3,2.772,0.381,181/393,Q2,54.07,0.001,0.305,0.664,27.85,Q3,Q3,42.0,95.24%,5.7,10.7,40.0,,,Ethics Corporate Social Responsibility and Management
382,1552-3977,ETHICS-CSR-MAN,Gender and Society,SAGE,scopus,WoS,3,3,,,11.0,9.0,9.0,13.0,GENDER & SOCIETY,GENDER SOC,0891-2432,SOCIOLOGY - SSCI,6607,4.314,1.77,8.04%,20/150,4.895,Q1,3.971,1.476,21/211,Q1,90.28,0.004,0.773,2.216,87.0,Q1,Q1,42.0,100%,15.9,7.1,42.0,,,Ethics Corporate Social Responsibility and Management
383,1468-0432,ETHICS-CSR-MAN,"Gender, Work and Organization",Wiley-Blackwell,scopus,WoS,3,3,3,3.0,21.0,22.0,20.0,22.0,GENDER WORK AND ORGANIZATION,GENDER WORK ORGAN,0968-6673,MANAGEMENT - SSCI,4293,5.428,1.94,19.38%,94/228,5.229,Q3,4.033,0.757,29/393,Q1,92.75,0.006,1.22,1.522,58.99,Q2,Q2,173.0,100%,5.8,8.3,173.0,,,Ethics Corporate Social Responsibility and Management
384,0017-8012,ETHICS-CSR-MAN,Harvard Business Review,Harvard Business School Publishing,scopus,WoS,3,3,3,4.0,9.0,,41.0,40.0,HARVARD BUSINESS REVIEW,HARVARD BUS REV,0017-8012,BUSINESS - SSCI,23815,12.129,0.56,0%,8/154,11.822,Q1,12.129,1.662,163/296,Q3,45.1,0.018,3.861,4.443,95.13,Q1,Q1,68.0,100%,15.1,,68.0,,,Ethics Corporate Social Responsibility and Management
